title,author,length
Star Wars: The Mask of Fear (Reign of the Empire),Alexander Freed,Length: 16 hrs and 51 mins
Blood Moon,Sandra Brown,Length: 12 hrs and 15 mins
Full Circle Marketing,Wayne Mullins,Length: 1 hr and 54 mins
The Business Trip,Jessie Garcia,Length: 9 hrs and 7 mins
The Drummer's Heart,Penelope Ward,Length: 8 hrs and 16 mins
Begin Again,Taylor Epperson,Length: 6 hrs and 42 mins
17 Secrets of True Leadership,Albion Burns,Length: 3 hrs and 29 mins
Binding 13,"Chloe Walsh,Antona Simongiovanni - traducteur",Length: 22 hrs and 53 mins
Emotional Regulation for Parents,T.R. Fosters,Length: 3 hrs and 56 mins
Renegade,Patricia Logan,Length: 8 hrs and 41 mins
Spell Crafting 501,Viola Grace,Length: 3 hrs and 6 mins
Lights Out,Navessa Allen,Length: 13 hrs and 38 mins
When the Moon Hits Your Eye,John Scalzi,Length: 10 hrs and 5 mins
Always a Bridesmaid,"Erin Clark,Laura Lovely",Length: 7 hrs and 7 mins
Hunting Adeline,H. D. Carlton,Length: 17 hrs and 24 mins
How to Stop Being Toxic,Thomas Ruggerio,Length: 4 hrs and 45 mins
Lethal Prey,John Sandford,Length: 11 hrs and 12 mins
Fearless,Lauren Roberts,Length: 17 hrs and 30 mins
The Gate of the Feral Gods,Matt Dinniman,Length: 18 hrs and 3 mins
Ben Hur,Lew Wallace,Length: 22 hrs and 34 mins
My Dark Prince,"Parker S. Huntington,L.J. Shen",Length: 17 hrs and 12 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
Rule of the Aurora King,Nisha J. Tuli,Length: 14 hrs and 26 mins
Phantom,Elle Menard,Length: 7 hrs and 56 mins
The Book of Wealth,Brian Kim,Length: 1 hr and 27 mins
Goldfinch,Raven Kennedy,Length: 21 hrs and 41 mins
"The Dark Healer, Book 2","Nadya Lee,Alex Toxic,Dan Veksler - translator",Length: 7 hrs and 53 mins
Royal Dragons,"Marcus Sloss,Jace Cannon",Length: 21 hrs
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
Candy Apples and Clairvoyants,Danielle Garrett,Length: 1 hr and 14 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
The Woman I Befriended,Sara Kate,Length: 4 hrs and 47 mins
"Sylver Seeker, Books 1-4: A LitRPG Adventure",Kennit Kenway,Length: 86 hrs and 55 mins
Sherlock Holmes: The Definitive Collection,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 71 hrs and 57 mins
Easy Does It,Jasmine Webb,Length: 5 hrs and 19 mins
Inked Adonis,Nicole Fox,Length: 10 hrs and 18 mins
The Perfect Divorce,Jeneva Rose,Length: 8 hrs and 45 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Mockingbird,Steve McElhenny,Length: 2 hrs and 40 mins
Bonded in Death,J. D. Robb,Length: 13 hrs and 50 mins
镜花缘 [Mirror Flower Fate],qing li ru zhen,Length: 35 hrs and 17 mins
Phantom,H. D. Carlton,Length: 8 hrs and 54 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
The Next Chapters,Haley Cass,Length: 4 hrs and 38 mins
The Life We Bury,Allen Eskens,Length: 8 hrs and 23 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
El arte de la seducción [The Art of Seduction],Robert Greene,Length: 23 hrs and 3 mins
Break the Rules,Julia Jarrett,Length: 7 hrs and 23 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 9 hrs and 22 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
The Women,Kristin Hannah,Length: 14 hrs and 57 mins
Count on You,Kami Holt,Length: 10 hrs and 50 mins
An Education in Magical Affairs: An Isekai LitRPG,SourpatchHero,Length: 16 hrs
Slow Noodles,Chantha Nguon,Length: 10 hrs and 58 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 15 mins
Fourth Wing,Rebecca Yarros,Length: 21 hrs and 22 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
Finlay Donovan Digs Her Own Grave,Elle Cosimano,Length: 9 hrs and 11 mins
The Things We Leave Unfinished,Rebecca Yarros,Length: 14 hrs and 32 mins
Crooked Was His Cane,Jack Gatland,Length: 10 hrs and 56 mins
The Hero of Ages,Brandon Sanderson,Length: 27 hrs and 25 mins
Dark Sisters,Aoibh Wood,Length: 11 hrs and 17 mins
The Boyfriend,Freida McFadden,Length: 9 hrs and 20 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
The Art of Disagreeing,Gavin Ortlund,Length: 1 hr and 55 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
Dangerous Allies,Annabelle Hawthorne,Length: 15 hrs and 50 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
Never Lie,Freida McFadden,Length: 7 hrs and 20 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 39 mins
Eight Years of Lies,Lisa Hall,Length: 10 hrs and 53 mins
