Tarih,Ev Sahibi Takım,Maç Sonucu,Konuk Takım
19-01-2025,Eyüpspor,3 - 0,Alanyaspor
26-01-2025,Bodrumspor,0 - 1,Eyüpspor
31-01-2025,Eyüpspor,1 - 0,Sivasspor
10-02-2025,Trabzonspor,1 - 0,Eyüpspor
10-08-2024,Fenerbahce,1 - 0,Adana Demirspor
17-08-2024,Göztepe AŞ,2 - 2,Fenerbahce
25-08-2024,Rizespor,0 - 5,Fenerbahce
30-08-2024,Fenerbahce,3 - 0,Alanyaspor
15-09-2024,Kasimpasa,0 - 2,Fenerbahce
21-09-2024,Fenerbahce,1 - 3,Galatasaray
29-09-2024,Antalyaspor,0 - 2,Fenerbahce
20-10-2024,Samsunspor,2 - 2,Fenerbahce
27-10-2024,Fenerbahce,2 - 0,Bodrumspor
03-11-2024,Trabzonspor,2 - 3,Fenerbahce
10-11-2024,Fenerbahce,4 - 0,Sivasspor
23-11-2024,Kayserispor,2 - 6,Fenerbahce
02-12-2024,Fenerbahce,3 - 1,Gaziantep F.K.
07-12-2024,Besiktas,1 - 0,Fenerbahce
15-12-2024,Fenerbahce,3 - 1,Buyuksehyr
20-12-2024,Eyüpspor,1 - 1,Fenerbahce
05-01-2025,Fenerbahce,2 - 1,Hatayspor
13-01-2025,Konyaspor,2 - 3,Fenerbahce
19-01-2025,Adana Demirspor,0 - 4,Fenerbahce
26-01-2025,Fenerbahce,3 - 2,Göztepe AŞ
02-02-2025,Fenerbahce,3 - 2,Rizespor
09-02-2025,Alanyaspor,0 - 2,Fenerbahce
09-08-2024,Galatasaray,2 - 1,Hatayspor
16-08-2024,Konyaspor,1 - 2,Galatasaray
31-08-2024,Adana Demirspor,1 - 5,Galatasaray
14-09-2024,Galatasaray,5 - 0,Rizespor
17-09-2024,Galatasaray,3 - 1,Gaziantep F.K.
21-09-2024,Fenerbahce,1 - 3,Galatasaray
28-09-2024,Galatasaray,3 - 3,Kasimpasa
06-10-2024,Galatasaray,1 - 0,Alanyaspor
19-10-2024,Antalyaspor,0 - 3,Galatasaray
28-10-2024,Galatasaray,2 - 1,Besiktas
10-11-2024,Galatasaray,3 - 2,Samsunspor
23-11-2024,Bodrumspor,0 - 1,Galatasaray
01-12-2024,Galatasaray,2 - 2,Eyüpspor
08-12-2024,Sivasspor,2 - 3,Galatasaray
16-12-2024,Galatasaray,4 - 3,Trabzonspor
22-12-2024,Kayserispor,1 - 5,Galatasaray
04-01-2025,Galatasaray,2 - 1,Göztepe AŞ
12-01-2025,Buyuksehyr,1 - 2,Galatasaray
17-01-2025,Hatayspor,1 - 1,Galatasaray
25-01-2025,Galatasaray,1 - 0,Konyaspor
03-02-2025,Gaziantep F.K.,0 - 1,Galatasaray
12-08-2024,Bodrumspor,0 - 1,Gaziantep F.K.
18-08-2024,Gaziantep F.K.,0 - 1,Samsunspor
14-09-2024,Sivasspor,3 - 2,Gaziantep F.K.
17-09-2024,Galatasaray,3 - 1,Gaziantep F.K.
23-09-2024,Gaziantep F.K.,0 - 0,Trabzonspor
29-09-2024,Eyüpspor,3 - 2,Gaziantep F.K.
06-10-2024,Gaziantep F.K.,1 - 1,Besiktas
19-10-2024,Kayserispor,2 - 2,Gaziantep F.K.
27-10-2024,Gaziantep F.K.,3 - 1,Konyaspor
01-11-2024,Gaziantep F.K.,2 - 1,Göztepe AŞ
09-11-2024,Hatayspor,3 - 1,Gaziantep F.K.
23-11-2024,Gaziantep F.K.,3 - 0,Buyuksehyr
02-12-2024,Fenerbahce,3 - 1,Gaziantep F.K.
09-12-2024,Gaziantep F.K.,1 - 0,Rizespor
14-12-2024,Alanyaspor,3 - 0,Gaziantep F.K.
22-12-2024,Gaziantep F.K.,2 - 0,Antalyaspor
05-01-2025,Kasimpasa,2 - 2,Gaziantep F.K.
12-01-2025,Gaziantep F.K.,1 - 0,Adana Demirspor
18-01-2025,Gaziantep F.K.,0 - 0,Bodrumspor
24-01-2025,Samsunspor,2 - 1,Gaziantep F.K.
03-02-2025,Gaziantep F.K.,0 - 1,Galatasaray
10-08-2024,Antalyaspor,0 - 0,Göztepe AŞ
17-08-2024,Göztepe AŞ,2 - 2,Fenerbahce
23-08-2024,Alanyaspor,1 - 1,Göztepe AŞ
31-08-2024,Göztepe AŞ,2 - 0,Bodrumspor
23-09-2024,Göztepe AŞ,3 - 0,Kayserispor
28-09-2024,Samsunspor,4 - 3,Göztepe AŞ
05-10-2024,Göztepe AŞ,3 - 2,Sivasspor
19-10-2024,Eyüpspor,1 - 0,Göztepe AŞ
26-10-2024,Göztepe AŞ,2 - 1,Trabzonspor
01-11-2024,Gaziantep F.K.,2 - 1,Göztepe AŞ
10-11-2024,Göztepe AŞ,2 - 0,Konyaspor
24-11-2024,Besiktas,2 - 4,Göztepe AŞ
30-11-2024,Buyuksehyr,4 - 1,Göztepe AŞ
07-12-2024,Göztepe AŞ,3 - 1,Adana Demirspor
15-12-2024,Hatayspor,1 - 1,Göztepe AŞ
22-12-2024,Göztepe AŞ,3 - 0,Rizespor
04-01-2025,Galatasaray,2 - 1,Göztepe AŞ
13-01-2025,Göztepe AŞ,5 - 0,Kasimpasa
19-01-2025,Göztepe AŞ,1 - 0,Antalyaspor
26-01-2025,Fenerbahce,3 - 2,Göztepe AŞ
02-02-2025,Göztepe AŞ,0 - 1,Alanyaspor
10-02-2025,Bodrumspor,0 - 0,Göztepe AŞ
09-08-2024,Galatasaray,2 - 1,Hatayspor
19-08-2024,Hatayspor,1 - 1,Kasimpasa
25-08-2024,Antalyaspor,3 - 2,Hatayspor
01-09-2024,Hatayspor,0 - 3,Samsunspor
15-09-2024,Alanyaspor,0 - 0,Hatayspor
